_id,hospital_id,npi,name,specialty,specialty_code,address,city,state,zip,phone,coordinates.lat,coordinates.lng
691efe51a095716360cd18cb,ab65c4a1-643b-4fa3-add1-430ffe23c3b2,1538141536,WEILL CORNELL UNIVERSITY MEDICAL COLLEGE,Women's Hospital,282NW0100X,428 E 72ND ST,NEW YORK,NY,10021,2127464900,40.7668985,-73.9547935
691efe51a095716360cd18cc,c4b738e3-8d58-4184-8287-c796f88b9f7e,1215911946,NEW YORK GRACIE SQUARE HOSPITAL INC,Psychiatric Hospital,283Q00000X,420 E 76TH ST,NEW YORK,NY,10021,2124345300,40.7697411,-73.9530951
691efe51a095716360cd18cd,c5138524-80c2-48b3-9915-8f9625527882,1033186093,MOUNT SINAI HOSPITAL,Psychiatric Hospital,283Q00000X,1 GUSTAVE L LEVY PL BOX 6000,NEW YORK,NY,10029,2122562904,40.7901411,-73.95381929999999
691efe51a095716360cd18ce,97a39b4d-5d4c-41bb-bd64-20065d73c7fb,1669440327,MOUNT SINAI HOSPITAL,Rehabilitation Hospital,283X00000X,1 GUSTAVE L LEVY PL BOX 6000,NEW YORK,NY,10029,2122562904,40.7901411,-73.95381929999999
691efe51a095716360cd18cf,4d4d44c6-fe51-4bf7-abd1-d1adc48bd2ba,1083663124,NEW YORK VAMC,General Acute Care Hospital,282N00000X,423 E 23RD ST,NEW YORK,NY,10010,7172776565,40.7370457,-73.9768461
691efe51a095716360cd18d0,f4cb3a10-0480-46c9-8513-7eba88d4ea16,1003863168,COLUMBIA PRESBYTERIAN MEDICAL CENTER,General Acute Care Hospital,282N00000X,622 W 168TH ST ROOM PH1271,NEW YORK,NY,10032,2123054920,40.8410959,-73.9405652
691efe51a095716360cd18d1,144ec87c-05a4-440b-83d4-7e154bf4f963,1275570327,MOUNT SINAI SCHOOL OF MEDICINE,Psychiatric Hospital,283Q00000X,1 GUSTAVE L LEVY PL BOX 1230,NEW YORK,NY,10029,2126598751,40.7901411,-73.95381929999999
691efe51a095716360cd18d2,c70d0ed1-7856-43eb-bf14-3560d272a5b2,1598703019,NEW YORK SOCIETY FOR THE RELIEF OF RUPTURED & CRIPPLED MAINTAINING,General Acute Care Hospital,282N00000X,535 E 70TH ST,NEW YORK,NY,10021,2126061398,40.765048,-73.9529124
691efe51a095716360cd18d3,e62903af-36b3-4e99-b811-9b38def30eee,1952346223,SAINT VINCENT CATHOLIC MEDICAL CENTER,General Acute Care Hospital,282N00000X,153 W 11TH ST,NEW YORK,NY,10011,2126047000,40.7364656,-74.00052529999999
691efe51a095716360cd18d4,400632cd-febf-4516-824c-3af4b8887054,1316975519,SAINT VINCENT CATHOLIC MEDICAL CENTER,Psychiatric Hospital Unit,273R00000X,153 W 11TH ST,NEW YORK,NY,10011,2123564419,40.7364656,-74.00052529999999
691efe51a095716360cd18d5,a3367dbc-a10f-4f92-ab33-fb776e044018,1477581015,SAINT VINCENT CATHOLIC MEDICAL CENTER,Rehabilitation Hospital Unit,273Y00000X,153 W 11TH ST,NEW YORK,NY,10011,2123564419,40.7364656,-74.00052529999999
691efe51a095716360cd18d6,5cd99f7d-a9d3-48a7-acf5-d5ca2ca3f2af,1164453312,SLR PSYCHIATRIC ASSOCIATES,General Acute Care Hospital,282N00000X,1090 AMSTERDAM AVE SUITE 16C,NEW YORK,NY,10025,2125232965,40.8054543,-73.96247869999999
691efe51a095716360cd18d7,7eea6baf-2b7a-46ff-abe4-f1b699408ca0,1952332801,THE NEW YORK AND PRESBYTERIAN HOSPITAL,General Acute Care Hospital,282N00000X,525 E 68TH ST,NEW YORK,NY,10065,9143358803,40.7648658,-73.9539836
691efe51a095716360cd18d8,12f66bdb-4797-4b57-8b19-0aad60a39f80,1356375505,"PRIVATE COVERAGE HOSPITALIST GROUP OF NY, PLLC",Hospitalist Physician,208M00000X,227 E 19TH ST,NEW YORK,NY,10003,2126866010,40.7361847,-73.98355389999999
691efe51a095716360cd18d9,8cce0f84-e43d-4557-8d41-494ba25d3a20,1770502635,THE NEW YORK AND PRESBYTERIAN HOSPITAL,Psychiatric Hospital,283Q00000X,525 E 68TH ST,NEW YORK,NY,10021,2127465454,40.7648658,-73.9539836
691efe51a095716360cd18da,5f00cf44-f8d4-4fa8-9397-07af627e8b9c,1063435709,MT. SINAI SCHOOL OF MEDICINE,General Acute Care Hospital,282N00000X,1 GUSTAVE L LEVY PLACE BOX 1048,NEW YORK,NY,10029,2122419065,40.7901411,-73.95381929999999
691efe51a095716360cd18db,1dcb77c5-1656-4d73-91a9-a5a642ec1ec4,1033225982,MT. SINAI SCHOOL OF MEDICINE,General Acute Care Hospital,282N00000X,1 GUSTAVE L LEVY PLACE BOX 1048,NEW YORK,NY,10029,2122413050,40.7901411,-73.95381929999999
691efe51a095716360cd18dc,7ebd0a65-4515-4548-8864-945672bb6dfa,1124136403,ST. VINCENT'S MIDTOWN HOSPITAL,General Acute Care Hospital,282N00000X,415 W 51ST ST,NEW YORK,NY,10019,2124598000,40.7646993,-73.98935279999999
691efe51a095716360cd18dd,5c1ee7dd-4b68-4357-a6d8-3320274e6607,1073621314,MT. SINAI SCHOOL OF MEDICINE,General Acute Care Hospital,282N00000X,1 GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,2122413050,40.7901411,-73.95381929999999
